EVRZF,1.39,+0.3900,(+39.00%)
BBBY,21.71,+5.53,(+34.18%)
RIG,4.95,+0.7100,(+16.75%)
MNDT,22.49,+3.11,(+16.05%)
NOV,21.19,+2.87,(+15.67%)
MVST,7.49,+0.98,(+15.05%)
CHIZF,0.51,+0.0600,(+13.33%)
CNR,24.1,+2.79,(+13.09%)
NOVA,20.98,+2.41,(+12.98%)
FLR,26.44,+2.99,(+12.75%)
